sweep,beta,K,steps,n,policy,final_resample,min_ess,resamples,acc,maj,passk,distinct
sweep_s1024_n256,1.0,1,1024,256,ess,1,1.0,0,35.55,35.55,35.55,0.63
tau_s1024,tau=0.3,1,1024,256,-,-,-,-,0.0,-,-,-
tau_s1024,tau=0.5,1,1024,256,-,-,-,-,32.03,-,-,-
tau_s1024,tau=0.7,1,1024,256,-,-,-,-,34.77,-,-,-
tau_s1024,tau=1.0,1,1024,256,-,-,-,-,33.98,-,-,-
probe,1.0,16,1024,8,ess,1,16.0,0,32.81,50.0,75.0,4.75
sweep_corrected_n64,1.0,16,1024,64,ess,1,16.0,0,24.02,37.5,54.69,5.16
probe,1.0005,16,1024,8,ess,1,15.99,0,32.81,50.0,75.0,4.88
probe,1.001,16,1024,8,ess,1,15.96,0,33.59,50.0,75.0,4.88
probe,1.002,16,1024,8,ess,1,15.86,0,35.16,50.0,62.5,4.5
probe,1.005,16,1024,8,ess,1,15.24,0,34.38,50.0,75.0,5.0
probe,1.01,16,1024,8,ess,1,13.61,0,37.5,50.0,62.5,3.25
probe,1.02,16,1024,8,ess,1,9.13,0,34.38,50.0,62.5,3.75
probe,1.05,16,1024,8,ess,1,2.64,14,39.06,50.0,75.0,2.88
probe,1.1,16,1024,8,ess,1,1.26,46,27.34,37.5,50.0,2.38
sweep_s1024_n256,1.05,64,1024,128,ess,1,10.97,404,29.5,42.97,67.19,7.12
sweep_K32_s512_n64,1.0,1,512,64,ess,1,1.0,0,23.44,23.44,23.44,0.58
sweep_K32_s512_n256,1.0,1,512,256,ess,1,1.0,0,28.52,28.52,28.52,0.62
sweep_beta_n256,1.02,1,512,256,never,0,1.0,0,30.08,30.08,30.08,0.62
sweep_K1_drift_512,1.05,1,512,256,never,0,1.0,0,28.52,28.52,28.52,0.62
sweep_K1_drift_512,1.1,1,512,256,never,0,1.0,0,30.86,30.86,30.86,0.65
sweep_K1_drift_512,1.15,1,512,256,never,0,1.0,0,30.47,30.47,30.47,0.66
sweep_beta_n256,1.2,1,512,256,never,0,1.0,0,32.81,32.81,32.81,0.67
sweep_beta_n256,1.3,1,512,256,never,0,1.0,0,32.03,32.03,32.03,0.66
sweep_K32_s512_n256,1.01,32,512,256,ess,1,21.77,0,29.55,46.48,59.77,6.17
sweep_K32_s512_n256,1.02,32,512,256,ess,1,6.89,230,29.64,44.53,57.03,5.06
sweep_K32_s512_n256,1.03,32,512,256,ess,1,7.28,420,30.03,43.36,58.59,4.77
sweep_K32_s512_n256,1.04,32,512,256,ess,1,3.47,683,30.11,42.58,57.42,4.09
sweep_naive_512,1.05,32,512,256,never,0,1.13,0,30.05,46.48,65.62,7.23
sweep_K32_s512_n256,1.05,32,512,256,ess,1,2.12,1020,31.24,40.62,57.42,3.44
sweep_K32_s512_n256,1.06,32,512,256,ess,1,1.29,1423,31.15,39.45,53.12,2.73
sweep_naive_512,1.08,32,512,256,never,0,1.0,0,30.25,47.27,62.11,7.32
sweep_K32_s512_n256,1.08,32,512,256,ess,1,1.19,2169,32.14,36.72,46.88,2.18
sweep_K32_s512_n256,1.1,32,512,256,ess,1,1.03,3043,31.25,36.33,44.92,1.66
sweep_K32_s512_n256,1.15,32,512,256,ess,1,1.0,5006,34.01,35.55,39.45,1.18
sweep_K32_s512_n256,1.2,32,512,256,ess,1,1.0,7376,33.75,35.94,37.11,0.95
sweep_K32_s512_n256,1.05,64,512,256,ess,1,2.79,1212,31.18,43.36,59.77,5.6
